Segment,Day,From,To,AvgSpeed,BusCount
Shaul1,22,06:31:00,06:46:00,25.887050897144807,7
Shaul2,22,06:31:00,06:46:00,0,6
Shaul3,22,06:31:00,06:46:00,0,2
Shaul4,22,06:31:00,06:46:00,0,7
Shaul1,22,06:46:00,07:01:00,25.887050897144807,7
Shaul2,22,06:46:00,07:01:00,0,10
Shaul3,22,06:46:00,07:01:00,0,1
Shaul4,22,06:46:00,07:01:00,0,8
Shaul1,22,07:01:00,07:16:00,25.887050897144807,12
Shaul2,22,07:01:00,07:16:00,0,7
Shaul3,22,07:01:00,07:16:00,0,1
Shaul4,22,07:01:00,07:16:00,9.623376823066263,9
Shaul1,22,07:16:00,07:31:00,25.887050897144807,12
Shaul2,22,07:16:00,07:31:00,0,10
Shaul3,22,07:16:00,07:31:00,0,4
Shaul4,22,07:16:00,07:31:00,9.623376823066263,11
Shaul1,22,07:31:00,07:46:00,25.887050897144807,8
Shaul2,22,07:31:00,07:46:00,26.294592196152692,6
Shaul3,22,07:31:00,07:46:00,0,1
Shaul4,22,07:31:00,07:46:00,9.623376823066263,6
Shaul1,22,07:46:00,08:01:00,0,12
Shaul2,22,07:46:00,08:01:00,0,11
Shaul3,22,07:46:00,08:01:00,0,3
Shaul4,22,07:46:00,08:01:00,9.623376823066263,12
Shaul1,22,08:01:00,08:16:00,0,13
Shaul2,22,08:01:00,08:16:00,0,9
Shaul3,22,08:01:00,08:16:00,0,1
Shaul4,22,08:01:00,08:16:00,9.623376823066263,5
Shaul1,22,08:16:00,08:31:00,0,10
Shaul2,22,08:16:00,08:31:00,26.294592196152692,8
Shaul3,22,08:16:00,08:31:00,0,1
Shaul4,22,08:16:00,08:31:00,9.623376823066263,12
Shaul1,22,08:31:00,08:46:00,25.887050897144807,11
Shaul2,22,08:31:00,08:46:00,0,10
Shaul3,22,08:31:00,08:46:00,0,2
Shaul4,22,08:31:00,08:46:00,9.623376823066263,11
Shaul1,22,08:46:00,09:01:00,0,9
Shaul2,22,08:46:00,09:01:00,0,8
Shaul3,22,08:46:00,09:01:00,0,2
Shaul4,22,08:46:00,09:01:00,9.623376823066263,8
Shaul1,22,09:01:00,09:16:00,25.887050897144807,19
Shaul2,22,09:01:00,09:16:00,26.294592196152692,14
Shaul3,22,09:01:00,09:16:00,0,4
Shaul4,22,09:01:00,09:16:00,0,10
Shaul1,22,09:16:00,09:31:00,25.887050897144807,8
Shaul2,22,09:16:00,09:31:00,26.294592196152692,9
Shaul3,22,09:16:00,09:31:00,0,2
Shaul4,22,09:16:00,09:31:00,0,8
Shaul1,22,09:31:00,09:46:00,12.943525448572403,4
Shaul2,22,09:31:00,09:46:00,26.294592196152692,2
Shaul4,22,09:31:00,09:46:00,0,2
Shaul1,22,12:01:00,12:16:00,0,1
Shaul2,22,12:01:00,12:16:00,26.294592196152692,1
Shaul1,22,12:16:00,12:31:00,0,2
Shaul1,22,12:31:00,12:46:00,17.25803393142987,7
Shaul2,22,12:31:00,12:46:00,14.79070811033589,9
Shaul3,22,12:31:00,12:46:00,0,6
Shaul4,22,12:31:00,12:46:00,0,4
Shaul1,22,12:46:00,13:01:00,25.887050897144807,3
Shaul2,22,12:46:00,13:01:00,26.294592196152692,4
Shaul4,22,12:46:00,13:01:00,0,2
Shaul1,22,13:01:00,13:16:00,25.887050897144807,5
Shaul2,22,13:01:00,13:16:00,26.294592196152692,8
Shaul3,22,13:01:00,13:16:00,0,3
Shaul4,22,13:01:00,13:16:00,0,2
Shaul1,22,13:16:00,13:31:00,25.887050897144807,5
Shaul2,22,13:16:00,13:31:00,0,5
Shaul3,22,13:16:00,13:31:00,0,3
Shaul4,22,13:16:00,13:31:00,0,2
Shaul1,22,13:31:00,13:46:00,25.887050897144807,4
Shaul2,22,13:31:00,13:46:00,26.294592196152692,6
Shaul3,22,13:31:00,13:46:00,0,2
Shaul4,22,13:31:00,13:46:00,0,3
Shaul1,22,13:46:00,14:01:00,25.887050897144807,4
Shaul2,22,13:46:00,14:01:00,26.294592196152692,2
Shaul3,22,13:46:00,14:01:00,0,2
Shaul4,22,13:46:00,14:01:00,0,2
Shaul1,22,14:01:00,14:16:00,0,3
Shaul2,22,14:01:00,14:16:00,0,3
Shaul3,22,14:01:00,14:16:00,0,1
Shaul4,22,14:01:00,14:16:00,3.2077922743554206,1
Shaul1,22,14:16:00,14:31:00,25.887050897144807,4
Shaul2,22,14:16:00,14:31:00,26.294592196152692,6
Shaul3,22,14:16:00,14:31:00,0,4
Shaul4,22,14:16:00,14:31:00,9.623376823066263,8
Shaul1,22,14:31:00,14:46:00,0,3
Shaul2,22,14:31:00,14:46:00,26.294592196152692,5
Shaul4,22,14:31:00,14:46:00,0,4
Shaul2,22,14:46:00,15:01:00,26.294592196152692,1
Shaul4,22,14:46:00,15:01:00,0,1
Shaul1,22,15:01:00,15:16:00,0,1
Shaul2,22,15:01:00,15:16:00,0,2
Shaul3,22,15:01:00,15:16:00,0,1
Shaul4,22,15:01:00,15:16:00,0,2
Shaul1,22,15:16:00,15:31:00,25.887050897144807,7
Shaul2,22,15:16:00,15:31:00,26.294592196152692,4
Shaul3,22,15:16:00,15:31:00,0,3
Shaul4,22,15:16:00,15:31:00,9.623376823066263,8
Shaul1,22,15:31:00,15:46:00,0,5
Shaul2,22,15:31:00,15:46:00,0,3
Shaul3,22,15:31:00,15:46:00,0,3
