SHAPE_ID  ,SHAPE_PT_LAT  ,SHAPE_PT_LON  ,SHAPE_PT_SEQUENCE  
82428,32.099406,34.779073,1
82428,32.098733,34.779095,2
82428,32.098743,34.77925,3
82428,32.098752,34.779381,4
82428,32.098762,34.77954,5
82428,32.098768,34.779627,6
82428,32.098798,34.779822,7
82428,32.098703,34.77984,8
82428,32.098607,34.779772,9
82428,32.098504,34.779627,10
82428,32.09845,34.779294,11
82428,32.09839,34.779003,12
82428,32.098388,34.778991,13
82428,32.098327,34.778766,14
82428,32.098299,34.778659,15
82428,32.098187,34.77831,16
82428,32.098127,34.778117,17
82428,32.098026,34.777811,18
82428,32.097987,34.777692,19
82428,32.097979,34.777664,20
82428,32.097748,34.777033,21
82428,32.097715,34.776943,22
82428,32.097688,34.776868,23
82428,32.097509,34.776376,24
82428,32.097425,34.776158,25
82428,32.097328,34.775903,26
82428,32.09724,34.775909,27
82428,32.097092,34.775915,28
82428,32.096966,34.775929,29
82428,32.096653,34.77597,30
82428,32.096523,34.775987,31
82428,32.09601,34.776057,32
82428,32.095659,34.776182,33
82428,32.094818,34.776459,34
82428,32.094243,34.776722,35
82428,32.094185,34.776735,36
82428,32.094117,34.776734,37
82428,32.09307,34.776461,38
82428,32.092478,34.776309,39
82428,32.092407,34.776292,40
82428,32.092314,34.77627,41
82428,32.092247,34.77699,42
82428,32.092199,34.777515,43
82428,32.092173,34.777799,44
82428,32.092137,34.778218,45
82428,32.092087,34.778784,46
82428,32.092034,34.779333,47
82428,32.092014,34.779543,48
82428,32.091994,34.779747,49
82428,32.091915,34.780601,50
82428,32.091845,34.78128,51
82428,32.091835,34.781376,52
82428,32.091691,34.782299,53
82428,32.091643,34.782681,54
82428,32.091569,34.782781,55
82428,32.091566,34.782786,56
82428,32.091528,34.782822,57
82428,32.091343,34.782864,58
82428,32.091023,34.782804,59
82428,32.090917,34.782778,60
82428,32.090788,34.782752,61
82428,32.089985,34.782611,62
82428,32.089512,34.782513,63
82428,32.08816,34.782274,64
82428,32.08777,34.782199,65
82428,32.087365,34.782112,66
82428,32.086723,34.781985,67
82428,32.086537,34.781953,68
82428,32.086396,34.781924,69
82428,32.085608,34.781775,70
82428,32.085307,34.781704,71
82428,32.084964,34.781629,72
82428,32.084636,34.78157,73
82428,32.084464,34.781531,74
82428,32.083214,34.781263,75
82428,32.082934,34.781232,76
82428,32.082649,34.781201,77
82428,32.082269,34.781195,78
82428,32.082153,34.7812,79
82428,32.081571,34.781209,80
82428,32.081472,34.781211,81
82428,32.081398,34.781206,82
82428,32.080911,34.781192,83
82428,32.080353,34.781177,84
82428,32.080341,34.781354,85
82428,32.080336,34.781425,86
82428,32.080293,34.782036,87
82428,32.080182,34.783392,88
82428,32.080079,34.784542,89
